model,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,algorithm,seed
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,262,78,3058,224,LSharp_Nothing_SepSeq,331988009
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,283,82,1833,159,LSharp_Nothing_SepSeq,-780218595
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,302,83,4649,356,LSharp_Nothing_SepSeq,1459505140
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,277,81,2060,148,LSharp_Nothing_SepSeq,107708709
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,330,90,319,29,LSharp_Nothing_SepSeq,2115096763
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,285,83,716,59,LSharp_Nothing_SepSeq,475759793
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,346,94,1426,124,LSharp_Nothing_SepSeq,-484762397
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,267,79,1137,84,LSharp_Nothing_SepSeq,1176015909
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,293,85,1694,120,LSharp_Nothing_SepSeq,992814925
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,275,81,453,53,LSharp_Nothing_SepSeq,-939953722
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,271,80,1271,97,LSharp_Nothing_SepSeq,-1652583806
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,292,85,5105,359,LSharp_Nothing_SepSeq,-1510259129
